text,watermark
"Un guayo eléctrico",REGGAETON
"Movimientos de cadera a 130 BPM",REGGAETON
"Una bandeja paisa afrodisíaca",REGGAETON
"El flow de Carlos Vives en tanga",REGGAETON
"Perreo hasta el suelo con rodilleras",REGGAETON
"Un acordeón lleno de autotune",REGGAETON
"Gafas oscuras y dientes de oro",REGGAETON
"Una batalla de gallos en la chiva rumbera",REGGAETON
"Champeta espacial",REGGAETON
"El espíritu de Diomedes poseyendo a Bad Bunny",REGGAETON
"Una empanada con forma de micrófono",REGGAETON
"Barranquilla, la capital mundial del perreo",REGGAETON
"Un remix de 'La pollera colorá' con beat urbano",REGGAETON
"Bailar champeta en tacones de 20 centímetros",REGGAETON
"Una arepa e'huevo afrodisíaca",REGGAETON
"El Santo Cachón versión trap",REGGAETON
"Un bus escalera lleno de reggaetoneros",REGGAETON
"Líricas más enredadas que una novela de García Márquez",REGGAETON
"Una totuma llena de whisky con Aguardiente Antioqueño",REGGAETON
"Cantar vallenato con voz de pito",REGGAETON
"Una sopa de mondongo con ritmo urbano",REGGAETON
"Perrear en una hamaca",REGGAETON
"Una gaita huilense eléctrica",REGGAETON
"El sombrero vueltiao de Pitbull",REGGAETON
"Un poncho de lentejuelas",REGGAETON
"Chocorramo con sabor a Red Bull",REGGAETON
"Una estatua de Botero bailando twerk",REGGAETON
"Bailar joropo con zapatillas de reggaetonero",REGGAETON
"Un ajiaco con extra swag",REGGAETON
"La feria de las flores versión perreo",REGGAETON
"Un carriel lleno de cadenas de oro",REGGAETON
"La mona Lisa haciéndose selfies con Bad Bunny",REGGAETON
"Alpargatas con suela de plataforma",REGGAETON
"Una buseta con sistema de sonido de discoteca",REGGAETON
"Changua energizante",REGGAETON
"Un flow más enredado que el tráfico de Bogotá",REGGAETON
"Cantar regueton con acento paisa",REGGAETON
"Una vanera con letras de trap",REGGAETON
"Bailar salsa choke en el Chocó",REGGAETON
"Una panela con sabor a Red Bull",REGGAETON
"El burro de Juan Valdez en un video musical",REGGAETON
"Una papayera interpretando 'Despacito'",REGGAETON
"Hacer una fiesta de 15 en un picó",REGGAETON
"Un tamal tolimense con ritmo urbano",REGGAETON
"La Vuelta a Colombia en chiva rumbera",REGGAETON
"Una cotiza con luces LED",REGGAETON
"El porro de Petrona Martínez con autotune",REGGAETON
"Un carriel lleno de grillz",REGGAETON
"Sancocho de gallina con beat de regueton",REGGAETON
"Una mochila arhuaca llena de vinilos de reggaeton",REGGAETON
"El sombrero aguadeño de J Balvin",REGGAETON
"Una ñapa de perreo",REGGAETON
"Chocolate santafereño con vodka",REGGAETON
"Un bicitaxi con sistema de sonido",REGGAETON
"La cumbia de la pollera colorá en versión trap",REGGAETON
"Un tejo explosivo con ritmo urbano",REGGAETON
"Bailar mapalé en una discoteca de Medellín",REGGAETON
"Una ruana con lentejuelas",REGGAETON
"El acordeón de Egidio Cuadrado con efectos electrónicos",REGGAETON
