text,pick,watermark
"La serenata perfecta necesita tres cosas: un acordeón, una botella de aguardiente y ____.",1,VALLENATO
"En el Festival de la Leyenda Vallenata, ____ ganó el premio a la mejor interpretación de 'La gota fría'.",1,VALLENATO
"El nuevo éxito de Silvestre Dangond se titula '____: El vallenato prohibido'.",1,VALLENATO
"Para componer un vallenato romántico, Jorge Celedón se inspiró en ____ y ____.",2,VALLENATO
"El secreto para tocar bien la caja vallenata es ____.",1,VALLENATO
"En la próxima novela sobre la vida de Diomedes Díaz, ____ interpretará al Cacique de La Junta.",1,VALLENATO
"La verdadera razón por la que Rafael Orozco y El Binomio de Oro se separaron fue ____.",1,VALLENATO
"El vallenato moderno fusiona los sonidos tradicionales con ____ y ____.",2,VALLENATO
"En su última parranda, los juglares cantaron la historia de cómo ____ salvó al vallenato.",1,VALLENATO
"Para ganar el concurso de piqueria, el cantante improvisó una copla sobre ____.",1,VALLENATO
"La nueva escuela de acordeón en Valledupar enseña a los estudiantes a tocar con ____.",1,VALLENATO
"El vallenato más controversial del año cuenta la historia de ____ en ____.",2,VALLENATO
"Para celebrar el Día del Vallenato, el alcalde de Valledupar ordenó que todos los ciudadanos ____.",1,VALLENATO
"El crossover más inesperado del año: un dueto entre Poncho Zuleta y ____ cantando sobre ____.",2,VALLENATO
"La nueva tendencia en los festivales vallenatos es usar ____ como instrumento.",1,VALLENATO
"El próximo himno vallenato de Colombia tratará sobre ____.",1,VALLENATO
"En su autobiografía, Carlos Vives revela que el secreto de su éxito es ____.",1,VALLENATO
"Para modernizar el vallenato, los jóvenes compositores están incluyendo letras sobre ____ y ____.",2,VALLENATO
"El evento más esperado del Festival de la Leyenda Vallenata es el concurso de ____.",1,VALLENATO
"La razón por la que el vallenato es Patrimonio Cultural Inmaterial de la Humanidad es ____.",1,VALLENATO
