text,pick,watermark
"En su nueva película, Sofía Vergara interpreta a una mujer obsesionada con ____.",1,COLOMBIA
"¿Qué está escondiendo realmente Shakira en su closet? ____",1,COLOMBIA
"El secreto del éxito de J Balvin es ____.",1,COLOMBIA
"Maluma decidió cambiar su nombre artístico por ____.",1,COLOMBIA
"Lo que nadie sabe es que Carlos Vives en realidad es ____.",1,COLOMBIA
"El próximo hit de Karol G se titula '____'.",1,COLOMBIA
"Juanes confesó que su mayor inspiración es ____.",1,COLOMBIA
"El nuevo negocio de Falcao: '____'.",1,COLOMBIA
"La razón por la que Nairo Quintana siempre lleva consigo ____.",1,COLOMBIA
"Fonseca reveló que antes de cada concierto hace ____.",1,COLOMBIA
"Lo que realmente pasó cuando Gabriel García Márquez escribió '____'.",1,COLOMBIA
"El verdadero talento oculto de Paulina Vega es ____.",1,COLOMBIA
"James Rodríguez sorprendió a todos al aparecer en televisión nacional haciendo ____.",1,COLOMBIA
"El nuevo reality show de Pirry se trata de ____.",1,COLOMBIA
"La próxima campaña política de Claudia López se basa en ____.",1,COLOMBIA
"Egan Bernal confesó que el secreto de su éxito es ____ y ____.",2,COLOMBIA
"En su próxima gira, Totó la Momposina planea ____ mientras canta.",1,COLOMBIA
"La verdadera razón por la que Greeicy Rendón y Mike Bahía están juntos: ____.",1,COLOMBIA
"El Pibe Valderrama decidió teñirse el pelo de ____ inspirado por ____.",2,COLOMBIA
"Si Diomedes Díaz viviera hoy, su nueva canción sería sobre ____.",1,COLOMBIA
